[2025-04-15 10:18:15] User: masa3, Action: LOGIN_ATTEMPT, Details: FAILED: Invalid password
[2025-04-15 10:18:19] User: masa3, Action: LOGIN_ATTEMPT, Details: FAILED: Invalid password
[2025-04-15 10:18:23] User: masa3, Action: LOGIN_ATTEMPT, Details: FAILED: Invalid password
[2025-04-15 10:18:29] User: masa3, Action: LOGIN_ATTEMPT, Details: FAILED: Invalid password
[2025-04-15 10:19:05] User: lola5, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 10:19:34] User: lola5, Action: DOWNLOAD, Details: Downloaded file: racuni.txt_masa3_to_lola5.enc
[2025-04-15 10:23:33] User: lola5, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 10:23:38] User: lola5, Action: KEY, Details: Published signed public key for lola5
[2025-04-15 10:23:53] User: lola5, Action: SHARE, Details: Shared file: Zadaci.pdf with milica
[2025-04-15 10:24:27] User: milica, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 10:24:43] User: milica, Action: DOWNLOAD, Details: Downloaded file: Zadaci.pdf_lola5_to_milica.enc
[2025-04-15 10:26:31] User: dj, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 10:27:47] User: milica, Action: LOGIN_ATTEMPT, Details: FAILED: Invalid certificate path
[2025-04-15 10:27:56] User: milica, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 10:27:58] User: milica, Action: KEY, Details: Published signed public key for milica
[2025-04-15 10:28:10] User: milica, Action: SHARE, Details: Shared file: 2025_02_KRZ.pdf with lola5
[2025-04-15 10:28:40] User: lola5, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 10:29:52] User: ana, Action: KEY, Details: Generated and signed public key for ana
[2025-04-15 10:30:21] User: ana, Action: UPLOAD, Details: Uploaded file: 08_Digitalni_sertifikati_i_PKI_II_dio.pdf
